New Privately Owned Housing Units Authorized,,,,,,
"Unadjusted Units for Regions, Divisions, and States",,,,,,
,,,,,,
Annual 2020,,,,,,
,,,,,,
,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Num of Structures With 5 Units or More
,,,,,,
United States                 ,1471141,979360,28324,18918,444539,15383
Northeast Region              ,134753,56260,4454,2981,71058,2802
New England Division          ,35571,18609,1450,725,14787,762
Connecticut                   ,5471,2512,172,114,2673,120
Maine                         ,5304,4180,198,73,853,47
Massachusetts                 ,17025,6754,628,304,9339,482
New Hampshire                 ,4320,3033,170,109,1008,50
Rhode Island                  ,1374,976,208,83,107,15
Vermont                       ,2077,1154,74,42,807,48
Middle Atlantic Division      ,99182,37651,3004,2256,56271,2040
New Jersey                    ,36146,12289,1238,636,21983,995
New York                      ,37330,9516,958,489,26367,735
Pennsylvania                  ,25706,15846,808,1131,7921,310
Midwest Region                ,202081,127955,5954,3417,64755,2329
East North Central Division   ,113624,73891,3310,2003,34420,1470
Illinois                      ,18058,9237,470,555,7796,281
Indiana                       ,24919,18979,620,191,5129,232
Michigan                      ,19735,15154,468,391,3722,175
Ohio                          ,29686,18352,466,733,10135,458
Wisconsin                     ,21226,12169,1286,133,7638,324
West North Central Division   ,88457,54064,2644,1414,30335,859
Iowa                          ,12623,8633,512,175,3303,114
Kansas                        ,8211,5975,600,181,1455,59
Minnesota                     ,28148,14707,316,272,12853,216
Missouri                      ,19839,13107,574,490,5668,208
Nebraska                      ,9483,5745,300,96,3342,134
North Dakota                  ,3493,2171,194,24,1104,24
South Dakota                  ,6660,3726,148,176,2610,104
South Region                  ,776343,568485,10556,5888,191414,6026
South Atlantic Division       ,413539,307237,4526,2402,99374,2979
Delaware                      ,8455,7101,310,71,973,77
District of Columbia          ,7370,139,94,4,7133,52
Florida                       ,164074,115250,2176,1231,45417,1354
Georgia                       ,55827,47982,482,542,6821,342
Maryland                      ,17982,12993,178,23,4788,96
North Carolina                ,80474,60505,502,100,19367,538
South Carolina                ,42340,36226,306,90,5718,250
Virginia                      ,33813,24238,446,320,8809,252
West Virginia                 ,3204,2803,32,21,348,18
East South Central Division   ,88792,66647,948,1274,19923,691
Alabama                       ,19982,17551,114,192,2125,128
Kentucky                      ,11281,8876,320,371,1714,92
Mississippi                   ,7810,7190,62,86,472,42
Tennessee                     ,49719,33030,452,625,15612,429
West South Central Division   ,274012,194601,5082,2212,72117,2356
Arkansas                      ,12493,8802,732,528,2431,178
Louisiana                     ,17283,15457,502,75,1249,53
Oklahoma                      ,13733,12100,418,73,1142,92
Texas                         ,230503,158242,3430,1536,67295,2033
West Region                   ,357964,226660,7360,6632,117312,4226
Mountain Division             ,184759,129393,3550,3671,48145,1812
Arizona                       ,60342,42277,1040,311,16714,522
Colorado                      ,40469,26636,728,397,12708,334
Idaho                         ,19130,14969,306,674,3181,179
Montana                       ,5980,3318,416,522,1724,96
Nevada                        ,19716,13706,586,641,4783,274
New Mexico                    ,5219,4418,12,29,760,85
Utah                          ,31775,22301,404,1048,8022,303
Wyoming                       ,2128,1768,58,49,253,19
Pacific Division              ,173205,97267,3810,2961,69167,2414
Alaska                        ,1420,1019,60,86,255,21
California                    ,106075,59043,2140,1677,43215,1384
Hawaii                        ,3164,2171,30,38,925,24
Oregon                        ,18665,11492,524,139,6510,303
Washington                    ,43881,23542,1056,1021,18262,682